year,film,won_bafta
2024,Oppenheimer,1
2024,Poor Things,0
2024,Killers of the Flower Moon,0
2024,Barbie,0
2024,The Holdovers,0
2023,All Quiet on the Western Front,1
2023,Everything Everywhere All at Once,0
2023,The Banshees of Inisherin,0
2023,The Fabelmans,0
2023,Tár,0
2022,The Power of the Dog,1
2022,Belfast,0
2022,Dune,0
2022,CODA,0
2021,Nomadland,1
2021,The Trial of the Chicago 7,0
2021,Promising Young Woman,0
2020,1917,1
2020,Parasite,0
2020,The Irishman,0
2020,Joker,0
2020,Once Upon a Time in Hollywood,0
2019,Roma,1
2019,The Favourite,0
2019,Green Book,0
2019,A Star Is Born,0
2018,"Three Billboards Outside Ebbing, Missouri",1
2018,The Shape of Water,0
2018,Dunkirk,0
