year,film,imdb_rating,rt_critics,rt_audience,metacritic,combined_score
2024,Oppenheimer,8.3,93,90,90,89.1
2024,Poor Things,7.8,92,73,88,83.60000000000001
2024,Killers of the Flower Moon,7.6,93,84,89,85.7
2024,Barbie,6.8,88,83,80,80.2
2024,Maestro,6.5,81,68,78,73.3
2024,American Fiction,7.5,93,94,81,86.6
2024,Anatomy of a Fall,7.7,96,90,87,88.2
2024,The Holdovers,7.9,97,94,83,89.6
2024,Past Lives,7.8,95,94,94,89.60000000000001
2024,The Zone of Interest,7.4,93,78,89,83.9
2023,Everything Everywhere All at Once,7.8,95,90,81,87.5
2023,The Banshees of Inisherin,7.7,96,82,87,86.60000000000001
2023,The Fabelmans,7.5,92,75,85,82.80000000000001
2023,Tár,7.4,91,71,92,82.0
2023,Top Gun: Maverick,8.2,96,99,78,90.6
2023,All Quiet on the Western Front,7.7,90,90,76,84.69999999999999
2022,CODA,8.0,94,91,72,87.0
2022,Belfast,7.2,85,83,75,79.69999999999999
2022,The Power of the Dog,6.8,94,55,88,77.8
2022,Dune,8.0,83,90,74,82.60000000000001
2022,Don't Look Up,7.2,55,77,55,64.5
