year,category,nominee,film,won_sag
1995,Actor,Nicolas Cage ‡,Leaving Las Vegas,1
1995,Actor,Anthony Hopkins,Nixon,1
1995,Actor,James Earl Jones,"Cry, the Beloved Country",1
1995,Actor,Sean Penn,Dead Man Walking,1
1995,Actor,Massimo Troisi †,Il Postino: The Postman,1
1996,Actor,Geoffrey Rush ‡,Shine,1
1996,Actor,Tom Cruise,Jerry Maguire,1
1996,Actor,Ralph Fiennes,The English Patient,1
1996,Actor,Woody Harrelson,The People vs. Larry Flynt,1
1996,Actor,Billy Bob Thornton,Sling Blade,1
1997,Actor,Jack Nicholson ‡,As Good as It Gets,1
1997,Actor,Matt Damon,Good Will Hunting,1
1997,Actor,Robert Duvall,The Apostle,1
1997,Actor,Peter Fonda,Ulee's Gold,1
1997,Actor,Dustin Hoffman,Wag the Dog,1
1998,Actor,Roberto Benigni ‡,Life Is Beautiful,1
1998,Actor,Joseph Fiennes,Shakespeare in Love,1
1998,Actor,Tom Hanks,Saving Private Ryan,1
1998,Actor,Ian McKellen,Gods and Monsters,1
1998,Actor,Nick Nolte,Affliction,1
1999,Actor,Kevin Spacey ‡,American Beauty,1
1999,Actor,Jim Carrey,Man on the Moon,1
1999,Actor,Russell Crowe,The Insider,1
1999,Actor,Philip Seymour Hoffman,Flawless,1
1999,Actor,Denzel Washington,The Hurricane,1
