year,category,nominee,film,won,total_nominations
1995,Leading Actor,Morgan Freeman,The Shawshank Redemption,False,7.0
1995,Leading Actor,Tom Hanks,Forrest Gump,True,13.0
1995,Leading Actor,Nigel Hawthorne,The Madness of King George,False,4.0
1995,Leading Actor,Paul Newman,Nobody's Fool,False,2.0
1995,Leading Actor,John Travolta,Pulp Fiction,False,7.0
1995,Supporting Actor,Samuel L. Jackson,Pulp Fiction,False,7.0
1995,Supporting Actor,Martin Landau,Ed Wood,True,2.0
1995,Supporting Actor,Chazz Palminteri,Bullets over Broadway,False,7.0
1995,Supporting Actor,Paul Scofield,Quiz Show,False,4.0
1995,Supporting Actor,Gary Sinise,Forrest Gump,False,13.0
1995,Leading Actress,Jodie Foster,Nell,False,1.0
1995,Leading Actress,Jessica Lange,Blue Sky,True,1.0
1995,Leading Actress,Miranda Richardson,Tom & Viv,False,2.0
1995,Leading Actress,Winona Ryder,Little Women,False,3.0
1995,Leading Actress,Susan Sarandon,The Client,False,1.0
1995,Supporting Actress,Rosemary Harris,Tom & Viv,False,2.0
1995,Supporting Actress,Helen Mirren,The Madness of King George,False,4.0
1995,Supporting Actress,Uma Thurman,Pulp Fiction,False,7.0
1995,Supporting Actress,Jennifer Tilly,Bullets over Broadway,False,7.0
1995,Supporting Actress,Dianne Wiest,Bullets over Broadway,True,7.0
1995,Other,Santo Loquasto/Susan Bode,Bullets over Broadway,False,7.0
1995,Other,Rick Carter/Nancy Haigh,Forrest Gump,False,13.0
1995,Other,Dante Ferretti/Francesca Lo Schiavo,Interview with the Vampire,False,2.0
1995,Other,Lilly Kilvert/Dorree Cooper,Legends of the Fall,False,3.0
1995,Other,Ken Adam/Carolyn Scott,The Madness of King George,True,4.0
1995,Cinematography,Don Burgess,Forrest Gump,False,13.0
1995,Cinematography,John Toll,Legends of the Fall,True,3.0
1995,Cinematography,Piotr Sobocinski,Red,False,3.0
1995,Cinematography,Roger Deakins,The Shawshank Redemption,False,7.0
1995,Cinematography,Owen Roizman,Wyatt Earp,False,1.0
1995,Other,Lizzy Gardiner/Tim Chappel,"The Adventures of Priscilla, Queen of the Desert",True,1.0
1995,Other,Jeffrey Kurland,Bullets over Broadway,False,7.0
1995,Other,Colleen Atwood,Little Women,False,3.0
1995,Other,April Ferry,Maverick,False,1.0
1995,Other,Moidele Bickel,Queen Margot,False,1.0
1995,Director,Woody Allen,Bullets over Broadway,False,7.0
1995,Director,Robert Zemeckis,Forrest Gump,True,13.0
1995,Director,Quentin Tarantino,Pulp Fiction,False,7.0
1995,Director,Robert Redford,Quiz Show,False,4.0
1995,Director,Krzysztof Kieslowski,Red,False,3.0
1995,Other,Deborah Hoffmann,Complaints of a Dutiful Daughter,False,1.0
1995,Other,Charles Guggenheim,D-Day Remembered,False,1.0
1995,Other,Connie Field/Marilyn Mulford,Freedom on My Mind,False,1.0
1995,Other,Jean Bach,A Great Day in Harlem,False,1.0
1995,Other,Freida Lee Mock/Terry Sanders,Maya Lin: A Strong Clear Vision,True,1.0
1995,Other,Vince DiPersio/Bill Guttentag,Blues Highway,False,1.0
1995,Other,Marcel Lozinski,89mm od Europy (89mm from Europe),False,1.0
1995,Other,Robert Richter,School of Assassins,False,1.0
1995,Other,Dee Mosbacher/Frances Reid,Straight from the Heart,False,1.0
1995,Other,Charles Guggenheim,A Time for Justice,True,1.0
1995,Film Editing,Arthur Schmidt,Forrest Gump,True,13.0
1995,Film Editing,Frederick Marx/Steve James/Bill Haugse,Hoop Dreams,False,1.0
1995,Film Editing,Sally Menke,Pulp Fiction,False,7.0
1995,Film Editing,Richard Francis-Bruce,The Shawshank Redemption,False,7.0
1995,Film Editing,John Wright,Speed,False,3.0
1995,Other,The Former Yugoslav Republic of Macedonia,Before the Rain,False,1.0
1995,Other,Russia,Burnt by the Sun,True,1.0
1995,Other,Taiwan,Eat Drink Man Woman,False,1.0
1995,Other,Belgium,Farinelli: Il Castrato,False,1.0
1995,Other,Cuba,Strawberry and Chocolate,False,1.0
1995,Other,Rick Baker/Ve Neill/Yolanda Toussieng,Ed Wood,True,2.0
1995,Other,Daniel C. Striepeke/Hallie D'Amore/Judith A. Cory,Forrest Gump,False,13.0
1995,Other,Daniel Parker/Paul Engelen/Carol Hemming,Mary Shelley's Frankenstein,False,1.0
1995,Other,Alan Silvestri,Forrest Gump,False,13.0
1995,Other,Elliot Goldenthal,Interview with the Vampire,False,2.0
1995,Other,Hans Zimmer,The Lion King,True,4.0
1995,Other,Thomas Newman,Little Women,False,3.0
1995,Other,Thomas Newman,The Shawshank Redemption,False,7.0
1995,Other,Elton John/Tim Rice,The Lion King,True,4.0
1995,Other,Elton John/Tim Rice,The Lion King,False,4.0
