year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,total_nominations,year_total_nominations,nomination_share,nomination_number
1994,1995,67,BEST PICTURE,BEST PICTURE,Wendy Finerman/Steve Tisch/Steve Starkey,Forrest Gump,1,13.0,33.0,0.3939393939393939,1
1994,1995,67,BEST PICTURE,BEST PICTURE,Duncan Kenworthy,Four Weddings and a Funeral,0,2.0,33.0,0.06060606060606061,2
1994,1995,67,BEST PICTURE,BEST PICTURE,Lawrence Bender,Pulp Fiction,0,7.0,33.0,0.21212121212121213,3
1994,1995,67,BEST PICTURE,BEST PICTURE,Robert Redford/Michael Jacobs/Julian Krainin/Michael Nozik,Quiz Show,0,4.0,33.0,0.12121212121212122,4
1994,1995,67,BEST PICTURE,BEST PICTURE,Niki Marvin,The Shawshank Redemption,0,7.0,33.0,0.21212121212121213,5
1995,1996,68,BEST PICTURE,BEST PICTURE,Brian Grazer,Apollo 13,0,9.0,38.0,0.23684210526315788,1
1995,1996,68,BEST PICTURE,BEST PICTURE,George Miller/Doug Mitchell/Bill Miller,Babe,0,7.0,38.0,0.18421052631578946,2
1995,1996,68,BEST PICTURE,BEST PICTURE,Mel Gibson/Alan Ladd Jr./Bruce Davey,Braveheart,1,10.0,38.0,0.2631578947368421,3
1995,1996,68,BEST PICTURE,BEST PICTURE,Mario Cecchi Gori/Vittorio Cecchi Gori/Gaetano Daniele,The Postman (Il Postino),0,5.0,38.0,0.13157894736842105,4
1995,1996,68,BEST PICTURE,BEST PICTURE,Lindsay Doran,Sense and Sensibility,0,7.0,38.0,0.18421052631578946,5
1996,1997,69,BEST PICTURE,BEST PICTURE,Saul Zaentz,The English Patient,1,12.0,36.0,0.3333333333333333,1
1996,1997,69,BEST PICTURE,BEST PICTURE,Ethan Coen,Fargo,0,7.0,36.0,0.19444444444444445,2
1996,1997,69,BEST PICTURE,BEST PICTURE,James L. Brooks/Laurence Mark/Richard Sakai/Cameron Crowe,Jerry Maguire,0,5.0,36.0,0.1388888888888889,3
