year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,total_nominations,year_total_nominations,nomination_share,nomination_number,year,won_gg_drama,won_gg_musical,won_bafta,won_sag_cast,imdb_rating,rt_critics,rt_audience,metacritic,combined_score,avg_textblob_sentiment,avg_vader_sentiment,avg_positive_score,avg_negative_score,sentiment_category,total_precursor_wins,has_precursor_win,precursor_sweep
1994,1995,67,BEST PICTURE,BEST PICTURE,Wendy Finerman/Steve Tisch/Steve Starkey,Forrest Gump,1,13.0,33.0,0.3939393939393939,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1994,1995,67,BEST PICTURE,BEST PICTURE,Duncan Kenworthy,Four Weddings and a Funeral,0,2.0,33.0,0.0606060606060606,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1994,1995,67,BEST PICTURE,BEST PICTURE,Lawrence Bender,Pulp Fiction,0,7.0,33.0,0.2121212121212121,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1994,1995,67,BEST PICTURE,BEST PICTURE,Robert Redford/Michael Jacobs/Julian Krainin/Michael Nozik,Quiz Show,0,4.0,33.0,0.1212121212121212,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1994,1995,67,BEST PICTURE,BEST PICTURE,Niki Marvin,The Shawshank Redemption,0,7.0,33.0,0.2121212121212121,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1995,1996,68,BEST PICTURE,BEST PICTURE,Brian Grazer,Apollo 13,0,9.0,38.0,0.2368421052631578,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1995,1996,68,BEST PICTURE,BEST PICTURE,George Miller/Doug Mitchell/Bill Miller,Babe,0,7.0,38.0,0.1842105263157894,2,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1995,1996,68,BEST PICTURE,BEST PICTURE,Mel Gibson/Alan Ladd Jr./Bruce Davey,Braveheart,1,10.0,38.0,0.2631578947368421,3,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1995,1996,68,BEST PICTURE,BEST PICTURE,Mario Cecchi Gori/Vittorio Cecchi Gori/Gaetano Daniele,The Postman (Il Postino),0,5.0,38.0,0.131578947368421,4,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1995,1996,68,BEST PICTURE,BEST PICTURE,Lindsay Doran,Sense and Sensibility,0,7.0,38.0,0.1842105263157894,5,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
1996,1997,69,BEST PICTURE,BEST PICTURE,Saul Zaentz,The English Patient,1,12.0,36.0,0.3333333333333333,1,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0,0
